,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,risk_cluster,ead_proxy,expected_loss_proxy,agg_cluster
50,A12,24,A33,A42,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,97.20833333333331,7.755338812846501,2.0,0,0,9332,early_career,medium_term,medium_high_amount,0,0.5976147920967961,0,2333,627.4058894828215,1
413,A14,10,A32,A40,1597,A63,A73,3,A93,A101,2,A124,40,A143,A151,1,A172,2,A191,A202,159.7,7.37650812632622,0.8333333333333334,0,0,4791,mid_career,short_term,medium_low_amount,0,0.11814221675311012,0,1597,84.9029040696226,1
193,A14,6,A32,A43,2108,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,351.3333333333333,7.653969180478774,0.5,0,0,4216,early_career,short_term,medium_low_amount,0,0.1134384810957883,0,2108,107.60774316746479,1
350,A14,9,A32,A44,1236,A61,A72,1,A92,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,137.33333333333334,7.1204443723924875,0.75,0,0,1236,young,short_term,low_amount,0,0.263935730811415,0,1236,146.80105347730904,1
994,A14,12,A32,A40,2390,A65,A75,4,A93,A101,3,A123,50,A143,A152,1,A173,1,A192,A201,199.16666666666663,7.779466967458324,1.0,0,0,9560,mid_career,short_term,medium_high_amount,0,0.03853099418018784,0,2390,41.440084240792025,1
722,A11,12,A32,A40,1228,A61,A73,4,A92,A101,2,A121,24,A143,A152,1,A172,1,A191,A201,102.33333333333331,7.113956109566034,1.0,0,0,4912,young,short_term,low_amount,1,0.8211422200002696,0,1228,453.763190772149,1
874,A11,12,A32,A42,3590,A61,A73,2,A93,A102,2,A122,29,A143,A152,1,A172,2,A191,A201,299.1666666666667,8.186185994226083,1.0,0,0,7180,early_career,short_term,medium_high_amount,0,0.5877004099397078,0,3590,949.430012257598,1
546,A14,24,A34,A40,2022,A61,A73,4,A92,A101,4,A123,37,A143,A152,1,A173,1,A192,A201,84.25,7.612336837167746,2.0,0,0,8088,mid_career,medium_term,medium_low_amount,0,0.20263037543248782,0,2022,184.37337860602065,1
759,A11,12,A34,A40,691,A61,A75,4,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,57.583333333333336,6.539585955617669,1.0,0,0,2764,early_career,short_term,low_amount,1,0.5010944489367375,0,691,155.81531889687852,1
233,A12,18,A32,A43,866,A61,A73,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,48.111111111111114,6.7650389767805414,1.5,0,0,3464,young,medium_term,low_amount,0,0.6138241304289804,0,866,239.20726362817368,1
809,A12,15,A30,A40,1778,A61,A72,2,A92,A101,1,A121,26,A143,A151,2,A171,1,A191,A201,118.53333333333332,7.483806687665835,1.25,0,0,3556,early_career,medium_term,medium_low_amount,1,0.8379476288390754,0,1778,670.4418978341442,1
306,A14,30,A32,A41,4811,A65,A74,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,160.36666666666667,8.47886807709457,2.5,0,1,9622,young,long_term,high_amount,0,0.1370609348703461,1,4811,296.73007094755576,0
490,A14,12,A34,A43,1934,A61,A75,2,A93,A101,2,A124,26,A143,A152,2,A173,1,A191,A201,161.16666666666666,7.567862605463883,1.0,0,0,3868,early_career,short_term,medium_low_amount,0,0.0906198539284919,0,1934,78.8664588739665,1
288,A12,12,A32,A43,1092,A61,A73,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,91.0,6.996681488176539,1.0,0,0,4368,mid_career,short_term,low_amount,0,0.29598140024069686,0,1092,145.44526007827844,1
727,A11,18,A32,A43,1882,A61,A73,4,A92,A101,4,A123,25,A141,A151,2,A173,1,A191,A201,104.55555555555556,7.540621528657152,1.5,0,0,7528,young,medium_term,medium_low_amount,1,0.9428424763016229,0,1882,798.4932931798444,1
198,A12,24,A32,A41,2760,A65,A75,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,115.0,7.923348211930154,2.0,0,0,11040,mid_career,medium_term,medium_high_amount,0,0.1918153073312979,0,2760,238.234611705472,1
583,A12,36,A32,A45,2384,A61,A72,4,A93,A101,1,A124,33,A143,A151,1,A172,1,A191,A201,66.22222222222223,7.776954403322442,3.0,1,0,9536,early_career,long_term,medium_high_amount,1,0.937259644625055,0,2384,1005.492146753759,0
752,A12,12,A32,A49,841,A62,A74,2,A92,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,70.08333333333333,6.7357800142423265,1.0,0,0,1682,young,short_term,low_amount,0,0.3754423203934623,0,841,142.08614615290583,1
301,A12,36,A30,A43,3804,A61,A73,4,A92,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,105.66666666666669,8.244071270295786,3.0,1,0,15216,mid_career,long_term,medium_high_amount,1,0.7459822725677848,1,3804,1276.9724541815342,0
591,A12,24,A33,A40,1965,A65,A73,4,A92,A101,4,A123,42,A143,A151,2,A173,1,A192,A201,81.875,7.583756300707112,2.0,0,0,7860,mid_career,medium_term,medium_low_amount,0,0.595537140592342,0,1965,526.6037165687784,1
125,A11,12,A34,A40,2121,A61,A73,4,A93,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,176.75,7.660114319173928,1.0,0,0,8484,early_career,short_term,medium_low_amount,0,0.4621625080489069,0,2121,441.11100580727924,1
489,A14,6,A32,A40,3518,A61,A73,2,A93,A103,3,A122,26,A143,A151,1,A173,1,A191,A201,586.3333333333334,8.165932137321585,0.5,0,0,7036,early_career,short_term,medium_high_amount,0,0.16540797392593867,0,3518,261.8573635221535,1
606,A14,24,A34,A49,4526,A61,A73,3,A93,A101,2,A121,74,A143,A152,1,A174,1,A192,A201,188.58333333333337,8.417814747435958,2.0,0,1,13578,senior,medium_term,high_amount,0,0.1540193899686941,1,4526,313.69129154923934,0
623,A11,12,A32,A42,1858,A61,A72,4,A92,A101,1,A123,22,A143,A151,1,A173,1,A191,A201,154.83333333333334,7.527793987721444,1.0,0,0,7432,young,short_term,medium_low_amount,0,0.871890464532773,0,1858,728.9876173958514,1
72,A11,8,A34,A410,1164,A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,145.5,7.060476365999801,0.6666666666666666,0,0,3492,senior,short_term,low_amount,0,0.5119507942542748,0,1164,268.1598260303892,1
754,A14,12,A33,A45,1555,A64,A75,4,A93,A101,4,A124,55,A143,A153,2,A173,2,A191,A201,129.58333333333334,7.349873704738337,1.0,0,0,6220,senior,short_term,medium_low_amount,1,0.15458489061399366,0,1555,108.17077720714208,1
512,A13,15,A32,A49,2687,A61,A74,2,A93,A101,4,A122,26,A143,A151,1,A173,1,A192,A201,179.13333333333333,7.89655270164304,1.25,0,0,5374,early_career,medium_term,medium_high_amount,0,0.15421363279229347,0,2687,186.46741409080164,1
217,A13,36,A32,A43,3913,A61,A73,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,108.69444444444444,8.272315147956022,3.0,1,0,7826,young,long_term,medium_high_amount,0,0.34248781055796823,1,3913,603.0696612209983,0
105,A12,24,A34,A410,11938,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,497.4166666666667,9.387565631345389,2.0,0,1,23876,mid_career,medium_term,high_amount,1,0.5388935953948721,1,11938,2894.9902838207927,0
656,A12,12,A32,A40,888,A61,A75,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,74.0,6.790097235513905,1.0,0,0,3552,mid_career,short_term,low_amount,1,0.7951344465356782,0,888,317.73572483565704,1
399,A14,24,A34,A43,1516,A64,A73,4,A92,A101,1,A121,43,A143,A152,2,A172,1,A191,A201,63.166666666666664,7.324489979348532,2.0,0,0,6064,mid_career,medium_term,medium_low_amount,0,0.05172757762963536,0,1516,35.288553458937244,1
208,A11,24,A32,A49,6568,A61,A73,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,273.6666666666667,8.790116892892472,2.0,0,1,13136,young,medium_term,high_amount,0,0.8908586728567509,1,6568,2633.021893495413,0
980,A12,30,A34,A42,8386,A61,A74,2,A93,A101,2,A122,49,A143,A152,1,A173,1,A191,A201,279.53333333333336,9.034438166984412,2.5,0,1,16772,mid_career,long_term,high_amount,1,0.3447854906681174,1,8386,1301.1170061342748,0
747,A11,12,A32,A40,1274,A61,A72,3,A92,A101,1,A121,37,A143,A152,1,A172,1,A191,A201,106.16666666666669,7.150701457592526,1.0,0,0,3822,mid_career,short_term,low_amount,1,0.7517366155880384,0,1274,430.97060171662247,1
99,A12,20,A33,A41,7057,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,352.85,8.861917004235215,1.6666666666666667,0,1,21171,mid_career,medium_term,high_amount,0,0.3901183980555625,1,7057,1238.879490785147,0
948,A14,18,A32,A42,1533,A61,A72,4,A94,A102,1,A122,43,A143,A152,1,A172,2,A191,A201,85.16666666666667,7.335633981927201,1.5,0,0,6132,mid_career,medium_term,medium_low_amount,1,0.6101386558831194,0,1533,420.90415176096997,1
785,A12,18,A32,A49,1941,A64,A73,4,A93,A101,2,A122,35,A143,A152,1,A172,1,A192,A201,107.83333333333331,7.571473648851271,1.5,0,0,7764,early_career,medium_term,medium_low_amount,0,0.21866888216926783,0,1941,190.99633513074698,1
432,A11,6,A34,A42,1872,A61,A71,4,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,312.0,7.535296702444088,0.5,0,0,7488,mid_career,short_term,medium_low_amount,0,0.3414230438857313,0,1872,287.61477216934003,1
635,A14,12,A32,A46,1393,A61,A75,4,A93,A101,4,A122,47,A141,A152,3,A173,2,A192,A201,116.08333333333331,7.239932591320469,1.0,0,0,5572,mid_career,short_term,medium_low_amount,0,0.5210541572401026,0,1393,326.62279846595834,1
597,A12,24,A30,A49,4241,A61,A73,1,A93,A101,4,A121,36,A143,A152,3,A172,1,A192,A201,176.70833333333334,8.352790135124629,2.0,0,1,4241,mid_career,medium_term,high_amount,1,0.4942209320995361,1,4241,943.1959378653597,0
736,A12,24,A32,A41,11560,A61,A73,1,A92,A101,4,A123,23,A143,A151,2,A174,1,A191,A201,481.6666666666667,9.35539264367532,2.0,0,1,11560,young,medium_term,high_amount,1,0.7381487577666561,1,11560,3839.8498379021453,0
639,A11,42,A33,A43,4370,A61,A74,3,A93,A101,2,A122,26,A141,A152,2,A173,2,A192,A201,104.04761904761904,8.382747094863314,3.5,1,1,13110,early_career,very_long_term,high_amount,1,0.7914018879413202,1,4370,1556.2918126366062,0
986,A13,42,A30,A49,6289,A61,A72,2,A91,A101,1,A122,33,A143,A152,2,A173,1,A191,A201,149.73809523809524,8.746716349694486,3.5,1,1,12578,early_career,very_long_term,high_amount,0,0.9288530644464817,1,6289,2628.7006150367656,0
607,A12,36,A32,A43,2671,A62,A73,4,A92,A102,4,A124,50,A143,A153,1,A173,1,A191,A201,74.19444444444444,7.890582534656536,3.0,1,0,10684,mid_career,long_term,medium_high_amount,1,0.6998079671531967,1,2671,841.1341861197848,0
447,A12,7,A32,A43,2576,A61,A73,2,A93,A103,2,A121,35,A143,A152,1,A173,1,A191,A201,368.0,7.854381210652365,0.5833333333333334,0,0,5152,early_career,short_term,medium_high_amount,0,0.10929947019347995,0,2576,126.69994584828197,1
62,A12,36,A30,A49,1953,A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,54.25,7.577633832602728,3.0,1,0,7812,senior,long_term,medium_low_amount,1,0.829752940249752,0,1953,729.2283715384946,0
603,A14,36,A32,A42,3349,A61,A73,4,A92,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,93.02777777777776,8.116715624819111,3.0,1,0,13396,early_career,long_term,medium_high_amount,1,0.40698555651094614,1,3349,613.3475829398215,0
985,A11,15,A34,A42,1433,A61,A73,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A191,A201,95.53333333333332,7.268223021159565,1.25,0,0,5732,young,medium_term,medium_low_amount,0,0.742786543863833,0,1433,478.98590281059273,1
655,A11,14,A32,A40,3973,A61,A71,1,A93,A101,4,A124,22,A143,A153,1,A173,1,A191,A201,283.7857142857143,8.287528423111763,1.1666666666666667,0,1,3973,young,medium_term,high_amount,0,0.7942971481026927,0,3973,1420.0841562353992,0
239,A11,30,A32,A43,2522,A61,A75,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,84.06666666666666,7.833203948641057,2.5,0,0,2522,mid_career,long_term,medium_high_amount,0,0.2515347883564849,0,2522,285.46683130577475,1
513,A12,12,A33,A43,585,A61,A73,4,A94,A102,4,A121,20,A143,A151,2,A173,1,A191,A201,48.75,6.373319789577012,1.0,0,0,2340,young,short_term,low_amount,0,0.6842009356793904,0,585,180.11589631759955,1
928,A14,30,A32,A43,1867,A65,A75,4,A93,A101,4,A123,58,A143,A152,1,A173,1,A192,A201,62.233333333333334,7.532623618788788,2.5,0,0,7468,senior,long_term,medium_low_amount,0,0.10642554385065159,0,1867,89.41342066612494,1
852,A14,15,A34,A43,1471,A61,A73,4,A93,A101,4,A124,35,A143,A153,2,A173,1,A192,A201,98.06666666666666,7.294377299288821,1.25,0,0,5884,early_career,medium_term,medium_low_amount,0,0.094302469689963,0,1471,62.42351981127101,1
646,A11,30,A30,A42,4583,A61,A73,2,A91,A103,2,A121,32,A143,A152,2,A173,1,A191,A201,152.76666666666668,8.430327258394575,2.5,0,1,9166,early_career,long_term,high_amount,0,0.909902498872125,1,4583,1876.537418548927,0
862,A11,24,A32,A43,2439,A61,A72,4,A92,A101,4,A121,35,A143,A152,1,A173,1,A192,A201,101.625,7.799753318287247,2.0,0,0,9756,early_career,medium_term,medium_high_amount,1,0.6191941677410893,0,2439,679.5965588042325,1
999,A12,45,A34,A41,4576,A62,A71,3,A93,A101,4,A123,27,A143,A152,1,A173,1,A191,A201,101.68888888888888,8.428799040653642,3.75,1,1,13728,early_career,very_long_term,high_amount,0,0.27310487865927563,1,4576,562.3775661351804,0
244,A14,12,A31,A48,3447,A63,A73,4,A92,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,287.25,8.145549631783584,1.0,0,0,13788,early_career,short_term,medium_high_amount,0,0.18145909099173443,0,3447,281.4702689918289,1
0,A11,6,A34,A43,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,194.83333333333337,7.064759027791802,0.5,0,0,4676,senior,short_term,low_amount,0,0.13493584773482323,0,1169,70.98300270090375,1
79,A12,30,A32,A42,3832,A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,127.73333333333332,8.251403065380556,2.5,0,0,7664,young,long_term,medium_high_amount,0,0.6989663011126347,0,3832,1205.2974896386272,1
504,A11,24,A32,A40,1207,A61,A72,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,50.291666666666664,7.0967213784947605,2.0,0,0,4828,young,medium_term,low_amount,1,0.9696290456700007,0,1207,526.6540161556609,1
51,A12,27,A33,A41,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,220.92592592592592,8.693831965074693,2.25,0,1,5965,early_career,long_term,high_amount,0,0.23159676524567152,1,5965,621.6636171106937,0
213,A13,30,A33,A49,1908,A61,A75,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,63.6,7.554334823725748,2.5,0,0,7632,senior,long_term,medium_low_amount,1,0.42357836155949696,0,1908,363.68438123498413,1
893,A12,36,A34,A41,5800,A61,A73,3,A93,A101,4,A123,34,A143,A152,2,A173,1,A192,A201,161.11111111111111,8.665785595466064,3.0,1,1,17400,early_career,long_term,high_amount,0,0.35550103757411783,1,5800,927.8577080684474,0
305,A14,6,A32,A42,1543,A64,A73,4,A91,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,257.1666666666667,7.342131730584722,0.5,0,0,6172,early_career,short_term,medium_low_amount,0,0.12144412785503753,0,1543,84.32473017614531,1
972,A11,24,A31,A40,1193,A61,A71,1,A92,A102,4,A124,29,A143,A151,2,A171,1,A191,A201,49.708333333333336,7.085064293952548,2.0,0,0,1193,early_career,medium_term,low_amount,1,0.9778417975816767,0,1193,524.9543690317231,1
599,A14,24,A33,A49,3863,A61,A73,1,A93,A101,2,A124,32,A143,A153,1,A173,1,A191,A201,160.95833333333334,8.259458195332408,2.0,0,0,3863,early_career,medium_term,medium_high_amount,0,0.1582043300342895,0,3863,275.01449711510713,1
837,A14,4,A32,A42,601,A61,A72,1,A92,A101,3,A121,23,A143,A151,1,A172,2,A191,A201,150.25,6.400257445308821,0.3333333333333333,0,0,601,young,short_term,low_amount,0,0.4060069402171376,0,601,109.80457698172488,1
610,A11,12,A32,A44,741,A62,A71,4,A92,A101,3,A122,22,A143,A152,1,A173,1,A191,A201,61.75,6.60934924316738,1.0,0,0,2964,young,short_term,low_amount,1,0.6870826141965586,0,741,229.1076977038425,1
694,A14,24,A32,A43,2284,A61,A74,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,95.16666666666669,7.734121303328305,2.0,0,0,9136,early_career,medium_term,medium_low_amount,0,0.16506664437248478,0,2284,169.65549708603987,1
750,A11,6,A32,A42,428,A61,A75,2,A92,A101,1,A122,49,A141,A152,1,A173,1,A192,A201,71.33333333333333,6.061456918928017,0.5,0,0,856,mid_career,short_term,low_amount,0,0.6199268006245585,0,428,119.39790180028997,1
850,A11,20,A34,A40,2235,A61,A73,4,A94,A103,2,A122,33,A141,A151,2,A173,1,A191,A202,111.75,7.71244383427499,1.6666666666666667,0,0,8940,early_career,medium_term,medium_low_amount,1,0.6906878059204491,0,2235,694.6592608044916,1
969,A11,11,A34,A40,3939,A61,A73,1,A93,A101,2,A121,40,A143,A152,2,A172,2,A191,A201,358.09090909090907,8.27893600229198,0.9166666666666666,0,0,3939,mid_career,short_term,medium_high_amount,0,0.21727998461032436,0,3939,385.13963672103046,1
33,A14,12,A34,A49,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,105.33333333333331,7.142827401161621,1.0,0,0,5056,senior,short_term,low_amount,0,0.15432556968062813,0,1264,87.78038403434128,1
503,A12,24,A34,A43,1216,A62,A72,4,A93,A101,4,A124,38,A141,A152,2,A173,2,A191,A201,50.666666666666664,7.104144092987527,2.0,0,0,4864,mid_career,medium_term,low_amount,1,0.86372367938086,0,1216,472.6295973572066,1
474,A12,18,A34,A43,1245,A61,A73,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,69.16666666666667,7.1276936993473985,1.5,0,0,4980,early_career,medium_term,low_amount,1,0.5503637050644132,0,1245,308.3412657623375,1
