,duration_months,credit_amount,installment_rate_pct_income,present_residence_since,age_years,existing_credits,people_liable,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,checking_account_status_A11,checking_account_status_A12,checking_account_status_A13,checking_account_status_A14,credit_history_A30,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,purpose_A40,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,savings_account_A61,savings_account_A62,savings_account_A63,savings_account_A64,savings_account_A65,employment_since_A71,employment_since_A72,employment_since_A73,employment_since_A74,employment_since_A75,personal_status_sex_A91,personal_status_sex_A92,personal_status_sex_A93,personal_status_sex_A94,other_debtors_guarantors_A101,other_debtors_guarantors_A102,other_debtors_guarantors_A103,property_A121,property_A122,property_A123,property_A124,other_installment_plans_A141,other_installment_plans_A142,other_installment_plans_A143,housing_A151,housing_A152,housing_A153,job_A171,job_A172,job_A173,job_A174,telephone_A191,telephone_A192,foreign_worker_A201,foreign_worker_A202,age_bucket_early_career,age_bucket_mid_career,age_bucket_senior,age_bucket_young,duration_bucket_long_term,duration_bucket_medium_term,duration_bucket_short_term,duration_bucket_very_long_term,credit_amount_bucket_high_amount,credit_amount_bucket_low_amount,credit_amount_bucket_medium_high_amount,credit_amount_bucket_medium_low_amount
320,0.7815452694800622,0.3965037290288589,0.9421637820708985,-0.7472929962930807,-0.6634788692281958,1.045047093438766,-0.4364357804719845,-0.17966128541105506,0.7571388812448607,0.7815452694800621,-0.45056355688958305,1.7614096918559583,1.046374933234355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
211,1.289592031872302,0.24155641165211686,-0.8376025122779064,1.053413018870969,0.8765983831192128,-0.7187454693270836,-0.4364357804719845,-0.4813205554712913,0.624015001000049,1.2895920318723018,2.2194427061597977,-0.5677270907634907,-0.12399772670815705,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
782,-0.742595017696657,-0.666045628537737,-0.8376025122779064,-0.7472929962930807,-0.3917005305786531,-0.7187454693270836,-0.4364357804719845,-0.3870371153116194,-0.6750669499959148,-0.7425950176966568,-0.45056355688958305,-0.5677270907634907,-0.7326517478020005,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
367,-0.2345482553044173,0.1723166683799012,-1.727485659452309,1.053413018870969,-1.207035546527281,-0.7187454693270836,-0.4364357804719845,0.3457481031445646,0.5598110504440639,-0.2345482553044172,-0.45056355688958305,-0.5677270907634907,-0.6284903380065593,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
970,-0.48857163650053714,-0.6271216647522752,0.9421637820708985,-0.7472929962930807,-1.207035546527281,-0.7187454693270836,-0.4364357804719845,-0.5293931753400455,-0.5826925885187914,-0.488571636500537,-0.45056355688958305,-0.5677270907634907,-0.32654774527423197,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
896,0.01947512589170256,-0.2184200450049266,0.9421637820708985,1.053413018870969,-0.6634788692281958,-0.7187454693270836,-0.4364357804719845,-0.3303647545357153,0.12233651316616898,0.01947512589170263,-0.45056355688958305,-0.5677270907634907,0.22161736073358418,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
930,0.2734985070878224,-0.5399170151175388,0.9421637820708985,-1.6476460038751053,-1.025849987427586,-0.7187454693270836,-0.4364357804719845,-0.7712122974305862,-0.3968744640913131,0.2734985070878225,-0.45056355688958305,-0.5677270907634907,-0.20958577668465214,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
251,-0.742595017696657,-0.35128549831107014,-1.727485659452309,-0.7472929962930807,0.9671911626690604,-0.7187454693270836,-0.4364357804719845,0.21518344044243687,-0.06779995365697478,-0.7425950176966568,-0.45056355688958305,-0.5677270907634907,-0.8040587865653813,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
390,-0.2345482553044173,-0.512595386691205,-0.8376025122779064,-0.7472929962930807,-0.4822933101285007,-0.7187454693270836,-0.4364357804719845,-0.5278655449172053,-0.34373143161154046,-0.2345482553044172,-0.45056355688958305,-0.5677270907634907,-0.6297452947510827,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
741,-0.9119439384940703,-0.8015309640217482,0.9421637820708985,1.053413018870969,-1.1164427669774335,-0.7187454693270836,-0.4364357804719845,-0.49616721364327004,-1.0601438989327783,-0.91194393849407,-0.45056355688958305,-0.5677270907634907,-0.5604716824533916,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
552,2.3056855566567815,1.4257431560482807,-1.727485659452309,-1.6476460038751053,-0.11992219192911042,1.045047093438766,-0.4364357804719845,-0.1437500358616306,1.4052840780358558,2.305685556656781,2.2194427061597977,1.7614096918559583,-0.20820532426567642,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
287,2.3056855566567815,1.6439419145763985,-0.8376025122779064,1.053413018870969,-0.3917005305786531,-0.7187454693270836,-0.4364357804719845,-0.039381847988677256,1.5091953484398977,2.305685556656781,2.2194427061597977,1.7614096918559583,0.8164668576376704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
652,0.2734985070878224,-0.33182351641833924,0.9421637820708985,-1.6476460038751053,0.8765983831192128,-0.7187454693270836,-0.4364357804719845,-0.5721429579542158,-0.03814836730010944,0.2734985070878225,-0.45056355688958305,-0.5677270907634907,0.06951660329734947,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
906,0.01947512589170256,0.21460905210833564,-0.8376025122779064,-0.7472929962930807,-1.025849987427586,-0.7187454693270836,-0.4364357804719845,0.14306428097129545,0.5994033162921586,0.01947512589170263,-0.45056355688958305,-0.5677270907634907,-0.14206910382929383,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
904,0.2734985070878224,-0.7154491210346692,0.9421637820708985,-1.6476460038751053,0.0612633671705847,-0.7187454693270836,-0.4364357804719845,-0.9391322978162298,-0.8026461997916597,0.2734985070878225,-0.45056355688958305,-0.5677270907634907,-0.44501566195723985,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
151,-0.9119439384940703,-0.4736714229057432,-1.727485659452309,1.053413018870969,0.2424489262702798,-0.7187454693270836,-0.4364357804719845,0.2565726772112649,-0.27158968860977006,-0.91194393849407,-0.45056355688958305,-0.5677270907634907,-0.8450958721112961,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
834,-0.48857163650053714,-0.32284106323707884,-0.8376025122779064,0.15306001128894414,-0.9352572078777385,-0.7187454693270836,-0.4364357804719845,-0.0636568501766233,-0.0246880275215583,-0.488571636500537,-0.45056355688958305,-0.5677270907634907,-0.5024926808564111,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
777,-0.2345482553044173,0.11954475593999629,0.9421637820708985,-1.6476460038751053,-0.9352572078777385,-0.7187454693270836,-0.4364357804719845,0.27843688763816615,0.5086533495363437,-0.2345482553044172,-0.45056355688958305,-0.5677270907634907,0.6749077368554321,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
359,0.7815452694800622,-0.29327382151543,0.9421637820708985,1.053413018870969,-1.1164427669774335,-0.7187454693270836,-0.4364357804719845,-0.70755307340379,0.018658753884274168,0.7815452694800621,-0.45056355688958305,-0.5677270907634907,0.12122082117171308,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
576,-0.742595017696657,-0.09715692705791107,-0.8376025122779064,-1.6476460038751053,-0.7540716487780433,-0.7187454693270836,-0.4364357804719845,0.7013995609620611,0.27449554797725373,-0.7425950176966568,-0.45056355688958305,-0.5677270907634907,-0.35114489746689037,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
770,0.2734985070878224,-0.14132065519910808,-0.8376025122779064,1.053413018870969,-0.8446644283278909,-0.7187454693270836,-0.4364357804719845,-0.3899014223544448,0.221120518651356,0.2734985070878225,-0.45056355688958305,-0.5677270907634907,-0.3807618766376423,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
