,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,risk_cluster,ead_proxy,expected_loss_proxy,agg_cluster,ensemble_anomaly_score,ensemble_anomaly_flag,if_score_scaled,lof_score_scaled,top_positive_contributors,top_negative_contributors,risk_narrative,risk_band,exposure_bucket,flag_high_pd_high_exposure,flag_high_expected_loss,flag_anomalous_elevated_pd,base_pd,base_lgd,base_ead,base_expected_loss,base_expected_loss_rate,mild_stress_pd,mild_stress_lgd,mild_stress_ead,mild_stress_expected_loss,mild_stress_expected_loss_rate,adverse_stress_pd,adverse_stress_lgd,adverse_stress_ead,adverse_stress_expected_loss,adverse_stress_expected_loss_rate,severe_stress_pd,severe_stress_lgd,severe_stress_ead,severe_stress_expected_loss,severe_stress_expected_loss_rate
932,A14,9,A34,A40,1224,A61,A73,3,A93,A101,1,A121,30,A143,A152,2,A173,1,A191,A201,136.0,7.110696122978827,0.75,0,0,3672,early_career,short_term,low_amount,0,0.133447782498868,0,1224,73.50303860037651,1,0.0419208182755244,0,0.0787584096433507,0.005083226907698,,,,low_risk,low_exposure,0,0,0,0.133447782498868,0.45,1224.0,73.5030386003765,0.060051502124490605,0.1534649498736982,0.5,1224.0,93.9205493227033,0.0767324749368491,0.17348211724852838,0.55,1260.72,120.2918061716606,0.09541516448669062,0.2068440628732454,0.65,1285.2,172.79339324305175,0.13444864086760952
419,A12,18,A32,A40,1042,A65,A73,4,A92,A101,2,A122,33,A143,A152,1,A173,1,A191,A201,57.888888888888886,6.949856455000773,1.5,0,0,4168,early_career,medium_term,low_amount,1,0.6573426674133199,0,1042,308.2279767501057,1,0.0702663384498383,0,0.1329135494375632,0.0076191274621134,,,,high_risk,low_exposure,0,0,0,0.6573426674133199,0.45,1042.0,308.2279767501057,0.29580420033599397,0.7759440675253179,0.5,1042.0,404.26685918069063,0.38797203376265893,0.904545467637316,0.55,1073.26,533.9468577280342,0.4975000072005238,1.0,0.65,1094.1000000000001,711.1650000000001,0.65
487,A14,24,A32,A40,3757,A61,A75,4,A92,A102,4,A124,62,A143,A153,1,A173,1,A192,A201,156.54166666666666,8.231642179973411,2.0,0,0,15028,senior,medium_term,medium_high_amount,0,0.6356943003903534,0,3757,1074.7365689549508,1,0.2730271507308595,0,0.5034742110754509,0.0425800903862682,,,,high_risk,medium_high_exposure,0,0,0,0.6356943003903534,0.45,3757.0,1074.7365689549508,0.286062435175659,0.7510484454489064,0.5,3757.0,1410.8445047757707,0.3755242227244532,0.8764025905074594,0.55,3869.71,1865.2831276819416,0.4820214247791027,1.0,0.65,3944.8500000000004,2564.1525,0.65
196,A14,6,A34,A43,1382,A61,A73,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,230.33333333333337,7.232010331664759,0.5,0,0,1382,early_career,short_term,medium_low_amount,0,0.0345790692690693,0,1382,21.504723178434237,1,0.104921648244404,0,0.1847043132499085,0.0251389832388995,,,,low_risk,medium_low_exposure,0,0,0,0.0345790692690693,0.45,1382.0,21.504723178434197,0.015560581171081184,0.03976592965942969,0.5,1382.0,27.478257394665917,0.019882964829714845,0.04495279004979009,0.55,1423.46,35.19367418835081,0.024724034527384548,0.053597557367057416,0.65,1451.1000000000001,50.55402007196906,0.03483841228858732
422,A12,12,A34,A40,958,A61,A74,2,A93,A101,3,A121,47,A143,A152,2,A172,2,A191,A201,79.83333333333333,6.8658910748834385,1.0,0,0,1916,mid_career,short_term,low_amount,0,0.2085798026803093,0,958,89.91875293548136,1,0.132654209712314,0,0.2500771723118326,0.0152312471127954,,,,moderate_risk,low_exposure,0,0,0,0.2085798026803093,0.45,958.0,89.91875293548134,0.09386091120613918,0.23986677308235566,0.5,958.0,114.89618430644836,0.11993338654117783,0.2711537434844021,0.55,986.74,147.15703466518943,0.14913455891642116,0.3232986941544794,0.65,1005.9000000000001,211.38400169249408,0.21014415120041163
951,A11,36,A33,A49,2145,A61,A74,2,A93,A101,1,A123,24,A143,A152,2,A173,1,A192,A201,59.583333333333336,7.671360923190644,3.0,1,0,4290,young,long_term,medium_low_amount,1,0.6337647849567025,0,2145,611.7414586794572,0,0.2291364127048056,0,0.3872447359715201,0.071028089438091,,,,high_risk,medium_low_exposure,0,0,0,0.6337647849567025,0.45,2145.0,611.7414586794572,0.28519415323051617,0.7488295027002079,0.5,2145.0,803.1196416459729,0.37441475135010394,0.8738942204437133,0.55,2209.35,1061.906007765525,0.48064182124404237,1.0,0.65,2252.25,1463.9625,0.65
493,A12,6,A32,A43,368,A65,A75,4,A93,A101,4,A122,38,A143,A152,1,A173,1,A191,A201,61.333333333333336,5.910796644040527,0.5,0,0,1472,mid_career,short_term,low_amount,0,0.0759859624125259,0,368,12.583275375514294,1,0.0974997552445371,0,0.1823802994715468,0.0126192110175273,,,,low_risk,low_exposure,0,0,0,0.0759859624125259,0.45,368.0,12.58327537551429,0.03419368308563666,0.08738385677440479,0.5,368.0,16.07862964649048,0.04369192838720239,0.09878175113628368,0.55,379.04,20.593229222883334,0.05432996312495603,0.11777824173941516,0.65,386.40000000000003,29.581183195271514,0.07655585713061985
388,A12,15,A34,A49,2326,A63,A73,2,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,155.06666666666666,7.752335163302292,1.25,0,0,4652,early_career,medium_term,medium_high_amount,0,0.1934327901753955,0,2326,202.46610147658652,1,0.1502399108178896,0,0.2805889156623495,0.0198909059734296,,,,low_risk,medium_high_exposure,0,0,0,0.1934327901753955,0.45,2326.0,202.46610147658646,0.08704475557892798,0.2224477087017048,0.5,2326.0,258.7066852200827,0.11122385435085241,0.25146262722801416,0.55,2395.78,331.34702318318256,0.1383044449754078,0.299820824771863,0.65,2442.3,475.96406022120874,0.19488353610171097
987,A14,13,A32,A43,1409,A62,A71,2,A92,A101,4,A121,64,A143,A152,1,A173,1,A191,A201,108.3846153846154,7.251344983372214,1.0833333333333333,0,0,2818,senior,medium_term,medium_low_amount,0,0.1647003240529891,0,1409,104.4282404657978,1,0.1473611964573521,0,0.2715659641896756,0.0231564287250287,,,,low_risk,medium_low_exposure,0,0,0,0.1647003240529891,0.45,1409.0,104.42824046579774,0.0741151458238451,0.18940537266093743,0.5,1409.0,133.43608503963043,0.09470268633046872,0.21411042126888583,0.55,1451.27,170.90261709119278,0.11776073169788721,0.2552855022821331,0.65,1479.45,245.4933886283462,0.16593557648338653
331,A14,18,A34,A46,1864,A62,A73,4,A92,A101,2,A121,30,A143,A152,2,A173,1,A191,A201,103.55555555555556,7.5310163320779155,1.5,0,0,7456,early_career,medium_term,medium_low_amount,1,0.3261294153945809,0,1864,273.5573536329745,1,0.1122973137795356,0,0.2187360048676817,0.0058586226913895,,,,moderate_risk,medium_low_exposure,0,0,0,0.3261294153945809,0.45,1864.0,273.55735363297447,0.1467582369275614,0.375048827703768,0.5,1864.0,349.5455074199118,0.187524413851884,0.4239682400129552,0.55,1919.92,447.6918068511202,0.23318253200712538,0.5055005938616004,0.65,1957.2,643.0877454988508,0.32857538601004027
497,A14,24,A34,A42,1585,A61,A74,4,A93,A101,3,A122,40,A143,A152,2,A173,1,A191,A201,66.04166666666667,7.368970402194793,2.0,0,0,6340,mid_career,medium_term,medium_low_amount,0,0.0969443036574836,0,1585,69.1455245837002,1,0.0477360917101389,0,0.0893554378401491,0.0061167455801288,,,,low_risk,medium_low_exposure,0,0,0,0.0969443036574836,0.45,1585.0,69.1455245837002,0.04362493664586763,0.11148594920610613,0.5,1585.0,88.3526147458391,0.055742974603053067,0.1260275947547287,0.55,1632.55,113.16049239925778,0.06931517711510078,0.1502636706690996,0.65,1664.25,162.54960404218187,0.09767138593491474
370,A14,36,A32,A40,3079,A65,A73,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,85.52777777777777,8.03268487596762,3.0,1,0,12316,mid_career,long_term,medium_high_amount,0,0.1270970174396623,1,3079,176.0992725135241,0,0.1242502614364355,0,0.2298409201282903,0.0186596027445807,,,,low_risk,medium_high_exposure,0,0,0,0.1270970174396623,0.45,3079.0,176.0992725135241,0.05719365784784804,0.15616157005561165,0.5,3079.0,240.41073710061414,0.07808078502780583,0.195226122671561,0.55,3171.37,340.52384776129963,0.10737436746935855,0.2470003770314766,0.65,3232.9500000000003,519.050914800543,0.16055024507045976
870,A14,36,A33,A42,7678,A63,A74,2,A92,A101,4,A123,40,A143,A152,2,A173,1,A192,A201,213.27777777777777,8.946244609330543,3.0,1,1,15356,mid_career,long_term,high_amount,0,0.2698175233651554,1,7678,932.2465249789489,0,0.251048848041521,0,0.4894617481146736,0.0126359479683685,,,,moderate_risk,high_exposure,0,0,0,0.2698175233651554,0.45,7678.0,932.2465249789485,0.12141788551431994,0.3202901518699287,0.5,7678.0,1229.5938930286563,0.16014507593496435,0.380762780374702,0.55,7908.34,1656.160839601659,0.2094195292060861,0.4682171612159909,0.65,8061.900000000001,2453.567955804678,0.3043411547903941
392,A11,36,A32,A40,3249,A61,A74,2,A93,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,90.25,8.086410275323782,3.0,1,0,6498,mid_career,long_term,medium_high_amount,0,0.7454681107503819,1,3249,1089.9116513225958,0,0.2877065205830065,0,0.5272688993063696,0.0481441418596433,,,,high_risk,medium_high_exposure,0,0,0,0.7454681107503819,0.45,3249.0,1089.9116513225958,0.3354606498376719,0.8872883273629392,0.5,3249.0,1441.3998878010946,0.4436441636814695,1.0,0.55,3346.4700000000003,1840.5585000000003,0.55,1.0,0.65,3411.4500000000003,2217.4425,0.65
206,A14,12,A34,A42,1935,A61,A75,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,161.25,7.568379267836522,1.0,0,0,7740,mid_career,short_term,medium_low_amount,0,0.0533448608780612,0,1935,46.45003760957186,1,0.0868498999177789,0,0.1518271320798436,0.0218726677557142,,,,low_risk,medium_low_exposure,0,0,0,0.0533448608780612,0.45,1935.0,46.450037609571794,0.024005187395127543,0.06134659000977038,0.5,1935.0,59.352825834452844,0.03067329500488519,0.06934831914147957,0.55,1993.05,76.01806710570924,0.03814157552781377,0.08268453436099486,0.65,2031.75,109.19629674716836,0.053744947334646666
967,A14,15,A32,A43,3568,A61,A75,4,A92,A101,2,A123,54,A141,A151,1,A174,1,A192,A201,237.86666666666667,8.18004072349016,1.25,0,0,14272,senior,medium_term,medium_high_amount,0,0.5235065676382573,0,3568,840.5421449999859,1,0.2713577599918141,0,0.4814561225198259,0.0612593974638023,,,,elevated_risk,medium_high_exposure,0,0,0,0.5235065676382573,0.45,3568.0,840.5421449999859,0.23557795543721577,0.6220325527839958,0.5,3568.0,1109.7060741666485,0.3110162763919979,0.7305585379297346,0.55,3675.04,1476.6575170783105,0.40180719586135405,0.8914351798392989,0.65,3746.4,2170.7872925374672,0.5794328668955443
701,A11,48,A34,A41,6331,A61,A75,4,A93,A101,4,A124,46,A143,A153,2,A173,1,A192,A201,131.89583333333334,8.753371421000903,4.0,1,1,25324,mid_career,very_long_term,high_amount,1,0.5289712505512439,1,6331,1507.0126442579665,0,0.2167657510700742,0,0.4191099700055843,0.0144215321345641,,,,elevated_risk,high_exposure,0,0,0,0.5289712505512439,0.45,6331.0,1507.0126442579665,0.23803706274805977,0.6383169381339305,0.5,6331.0,2020.592267662957,0.31915846906696527,0.7676626257166173,0.55,6520.93,2753.230835252844,0.42221444414413956,0.9499054383544281,0.65,6647.55,4104.453532876436,0.6174385349303783
952,A12,24,A32,A41,4113,A63,A72,3,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,171.375,8.322151070212902,2.0,0,1,12339,early_career,medium_term,high_amount,1,0.658365381164263,1,4113,1218.5355657278762,0,0.1802905410938786,0,0.3425295166620866,0.0180515655256705,,,,high_risk,high_exposure,0,0,0,0.658365381164263,0.45,4113.0,1218.5355657278762,0.29626442152391835,0.7871201883389024,0.5,4113.0,1618.7126673189528,0.3935600941694512,0.935874995513542,0.55,4236.39,2180.602309733988,0.5147312475324481,1.0,0.65,4318.650000000001,2807.1225000000004,0.65
767,A14,10,A32,A41,2901,A65,A72,1,A92,A101,4,A121,31,A143,A151,1,A173,1,A191,A201,290.1,7.973155433444133,0.8333333333333334,0,0,2901,early_career,short_term,medium_high_amount,0,0.0254474402110635,0,2901,33.22036082353286,1,0.1762742832156834,0,0.3294644138786409,0.0230841525527258,,,,low_risk,medium_high_exposure,0,0,0,0.0254474402110635,0.45,2901.0,33.22036082353284,0.011451348094978574,0.02926455624272302,0.5,2901.0,42.44823883006974,0.01463227812136151,0.03308167227438255,0.55,2988.03,54.366966063312816,0.018194919750910404,0.03944353232714842,0.65,3046.05,78.0955315693218,0.02563829601264648
670,A14,24,A34,A49,4139,A62,A73,3,A93,A101,3,A122,27,A143,A152,2,A172,1,A192,A201,172.45833333333334,8.32845106681936,2.0,0,1,12417,early_career,medium_term,high_amount,0,0.110442534152224,1,4139,205.7047419852249,0,0.1579834469794818,0,0.2976153319003813,0.0183515620585822,,,,low_risk,high_exposure,0,0,0,0.110442534152224,0.45,4139.0,205.7047419852248,0.0496991403685008,0.1370089142750576,0.5,4139.0,283.5399480922317,0.0685044571375288,0.1735752943978912,0.55,4263.17,406.9895433000419,0.09546641191884017,0.2211859279359472,0.65,4345.95,624.8209392835993,0.14377085315836569
26,A14,6,A30,A43,426,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,71.0,6.056784013228625,0.5,0,0,1704,mid_career,short_term,low_amount,0,0.195586410278374,0,426,37.493914850364305,1,0.1757517615082886,0,0.3307147365829338,0.0207887864336435,,,,low_risk,low_exposure,0,0,0,0.195586410278374,0.45,426.0,37.4939148503643,0.08801388462526831,0.2249243718201301,0.5,426.0,47.90889119768771,0.11246218591006504,0.2542623333618862,0.55,438.78000000000003,61.36087464789065,0.13984428334903742,0.30315893593147974,0.65,447.3,88.14194482739808,0.19705330835546184
436,A14,6,A32,A45,660,A63,A74,2,A94,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,110.0,6.493753839851686,0.5,0,0,1320,young,short_term,low_amount,0,0.1627183324041207,0,660,48.32734472402387,1,0.2701463142495602,0,0.5042188888568906,0.0360737396422298,,,,low_risk,low_exposure,0,0,0,0.1627183324041207,0.45,660.0,48.32734472402385,0.07322324958185432,0.18712608226473879,0.5,660.0,61.7516071473638,0.09356304113236939,0.21153383212535692,0.55,679.8000000000001,79.09038449334972,0.11634360766894632,0.25221341522638707,0.65,693.0,113.60953288872606,0.1639387198971516
457,A11,12,A32,A41,3386,A61,A75,3,A93,A101,4,A124,35,A143,A153,1,A173,1,A192,A201,282.1666666666667,8.127699852817772,1.0,0,0,10158,early_career,short_term,medium_high_amount,1,0.2012290480259831,0,3386,306.61270047719046,1,0.1144788254729007,0,0.209948715024192,0.0190089359216094,,,,moderate_risk,medium_high_exposure,0,0,0,0.2012290480259831,0.45,3386.0,306.61270047719046,0.0905530716116924,0.23141340522988055,0.5,3386.0,391.78289505418775,0.11570670261494027,0.261597762433778,0.55,3487.58,501.7887183698376,0.14387876933857793,0.3119050244402738,0.65,3555.3,720.7953567051286,0.20273826588617797
517,A14,36,A34,A42,7127,A61,A72,2,A92,A101,4,A122,23,A143,A151,2,A173,1,A192,A201,197.97222222222223,8.871785969150645,3.0,1,1,14254,young,long_term,high_amount,1,0.608766933561671,1,7127,1952.4068709723133,0,0.2301851800590315,0,0.4477352999388824,0.0126350601791807,,,,high_risk,high_exposure,0,0,0,0.608766933561671,0.45,7127.0,1952.4068709723133,0.27394512010275196,0.7300819735959216,0.5,7127.0,2601.647112909067,0.3650409867979608,0.8713970136301724,0.55,7340.81,3518.2179513945784,0.4792683574965948,1.0,0.65,7483.35,4864.177500000001,0.65
195,A12,9,A34,A46,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,166.77777777777777,7.31455283232408,0.75,0,0,3002,early_career,short_term,medium_low_amount,1,0.3291905174223501,0,1501,222.35173499292637,1,0.1753800431085571,0,0.3259691717600787,0.0247909144570354,,,,moderate_risk,medium_low_exposure,0,0,0,0.3291905174223501,0.45,1501.0,222.35173499292637,0.14813573284005754,0.37856909503570263,0.5,1501.0,284.11610582429483,0.18928454751785131,0.42794767264905514,0.55,1546.03,363.89096719009035,0.23537121995698038,0.5102453020046427,0.65,1576.05,522.7118703458711,0.3316594463030178
719,A12,20,A30,A41,6148,A62,A75,3,A94,A101,4,A123,31,A141,A152,2,A173,1,A192,A201,307.4,8.724044745953469,1.6666666666666667,0,1,18444,early_career,medium_term,high_amount,0,0.8339897982002384,1,6148,2307.3161757007797,0,0.2684077206254307,0,0.5245354807165727,0.0122799605342886,,,,high_risk,high_exposure,1,1,0,0.8339897982002384,0.45,6148.0,2307.3161757007797,0.3752954091901073,0.9890882679302742,0.5,6148.0,3040.457335617663,0.4945441339651371,1.0,0.55,6332.4400000000005,3482.8420000000006,0.55,1.0,0.65,6455.400000000001,4196.01,0.65
464,A14,18,A32,A49,1950,A61,A74,4,A93,A101,1,A123,34,A142,A152,2,A173,1,A192,A201,108.33333333333331,7.576097340623111,1.5,0,0,7800,early_career,medium_term,medium_low_amount,0,0.2287450599726767,0,1950,200.72379012602383,1,0.1125425485218369,0,0.2125419949821771,0.0125431020614966,,,,moderate_risk,medium_low_exposure,0,0,0,0.2287450599726767,0.45,1950.0,200.7237901260238,0.10293527698770451,0.2630568189685782,0.5,1950.0,256.4803984943637,0.1315284094842891,0.2973685779644797,0.55,2008.5,328.4956338629116,0.16355271788046383,0.3545548429576489,0.65,2047.5,471.868176621261,0.23046064792247178
241,A14,6,A32,A43,1595,A61,A74,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,265.8333333333333,7.375255778009755,0.5,0,0,4785,senior,short_term,medium_low_amount,0,0.0816875242851772,0,1595,58.63122055568598,1,0.1032353898327527,0,0.1836215141905239,0.0228492654749816,,,,low_risk,medium_low_exposure,0,0,0,0.0816875242851772,0.45,1595.0,58.631220555685935,0.03675938592832974,0.09394065292795377,0.5,1595.0,74.91767071004313,0.046970326463976884,0.10619378157073037,0.55,1642.8500000000001,95.95324972941093,0.05840657986390171,0.12661566264202467,0.65,1674.75,137.83222765632505,0.08230018071731604
158,A12,24,A32,A40,3512,A62,A74,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,146.33333333333334,8.164225652265827,2.0,0,0,7024,mid_career,medium_term,medium_high_amount,0,0.4236983779419793,0,3512,669.6129164995041,1,0.1569482355617355,0,0.2899471349362916,0.0239493361871794,,,,elevated_risk,medium_high_exposure,0,0,0,0.4236983779419793,0.45,3512.0,669.6129164995041,0.1906642700738907,0.5072531346332761,0.5,3512.0,890.736504416033,0.2536265673166381,0.6008078913245731,0.55,3617.36,1195.336138569022,0.33044434022851527,0.7367324858100679,0.65,3687.6000000000004,1765.9035645375843,0.47887611577654415
957,A12,9,A34,A43,1154,A61,A75,2,A93,A101,4,A121,37,A143,A152,3,A172,1,A191,A201,128.22222222222223,7.051855622955894,0.75,0,0,2308,mid_career,short_term,low_amount,0,0.1296364311216139,0,1154,67.3201986814541,1,0.1101858132383491,0,0.1906281488144851,0.0297434776622131,,,,low_risk,low_exposure,0,0,0,0.1296364311216139,0.45,1154.0,67.3201986814541,0.05833639400472626,0.14908189578985598,0.5,1154.0,86.0202538707469,0.07454094789492799,0.1685273604580981,0.55,1188.6200000000001,110.17324515323753,0.09269004825195397,0.20093646823850156,0.65,1211.7,158.25856706698505,0.13060870435502603
446,A11,36,A32,A40,1842,A61,A72,4,A92,A101,4,A123,34,A143,A152,1,A173,1,A192,A201,51.166666666666664,7.519149957669823,3.0,1,0,7368,early_career,long_term,medium_low_amount,1,0.921639787550519,0,1842,763.9472199006252,0,0.1491014355929493,0,0.2655831375206593,0.0326197336652392,,,,high_risk,medium_low_exposure,0,0,0,0.921639787550519,0.45,1842.0,763.9472199006252,0.41473790439773356,1.0,0.5,1842.0,921.0,0.5,1.0,0.55,1897.26,1043.4930000000002,0.55,1.0,0.65,1934.1000000000001,1257.1650000000002,0.65
609,A14,15,A32,A41,1300,A65,A75,4,A93,A101,4,A124,45,A141,A153,1,A173,2,A191,A201,86.66666666666667,7.170888478512505,1.25,0,0,5200,mid_career,medium_term,low_amount,0,0.2344351129119883,0,1300,137.14454105351317,1,0.2288893267058003,0,0.4331896833456278,0.0245889700659728,,,,moderate_risk,low_exposure,0,0,0,0.2344351129119883,0.45,1300.0,137.14454105351317,0.10549580081039474,0.2696003798487865,0.5,1300.0,175.2402469017112,0.13480018992439324,0.30476564678558477,0.55,1339.0,224.44466057524394,0.16762110573207165,0.36337442501358186,0.65,1365.0,322.4039585933005,0.23619337625882822
108,A11,24,A32,A42,7721,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,321.7083333333333,8.951828676824181,2.0,0,1,7721,early_career,medium_term,high_amount,0,0.3201821982002369,1,7721,1112.4570385368131,0,0.2258728624643563,0,0.4280063368646479,0.0237393880640647,,,,moderate_risk,high_exposure,0,0,0,0.3201821982002369,0.45,7721.0,1112.4570385368131,0.14408198919010662,0.3782095279302724,0.5,7721.0,1460.0778825748166,0.1891047639651362,0.44623685766030796,0.55,7952.63,1951.8161417343024,0.2454302717131694,0.5462824072103672,0.65,8107.05,2878.6802130936253,0.35508356468673874
9,A12,30,A34,A40,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,174.46666666666667,8.563122123304638,2.5,0,1,20936,early_career,long_term,high_amount,1,0.8195508692236837,1,5234,1930.2881622825423,0,0.2105700524613991,0,0.4070746381924759,0.0140654667303224,,,,high_risk,high_exposure,1,0,0,0.8195508692236837,0.45,5234.0,1930.2881622825423,0.3687978911506577,0.9724834996072362,0.5,5234.0,2544.9893184721373,0.4862417498036181,1.0,0.55,5391.02,2965.0610000000006,0.55,1.0,0.65,5495.7,3572.205,0.65
962,A14,15,A32,A40,3556,A65,A73,3,A93,A101,2,A124,29,A143,A152,1,A173,1,A191,A201,237.06666666666663,8.176672771948455,1.25,0,0,10668,early_career,medium_term,medium_high_amount,0,0.2061090072840205,0,3556,329.8156334558897,1,0.0552465340304595,0,0.1023934691892358,0.0080995988716833,,,,moderate_risk,medium_high_exposure,0,0,0,0.2061090072840205,0.45,3556.0,329.8156334558896,0.09274905327780923,0.23702535837662356,0.5,3556.0,421.4310871936367,0.11851267918831178,0.2679417094692267,0.55,3662.6800000000003,539.761607241311,0.14736794020807467,0.3194689612902318,0.65,3733.8,775.3415849825539,0.20765482483865066
625,A14,15,A32,A43,1979,A65,A75,4,A93,A101,2,A123,35,A143,A152,1,A173,1,A191,A201,131.93333333333334,7.590852123688581,1.25,0,0,7916,early_career,medium_term,medium_low_amount,0,0.108601309495179,0,1979,96.71489617093168,1,0.0236006887052053,0,0.0435983560710571,0.0036030213393535,,,,low_risk,medium_low_exposure,0,0,0,0.108601309495179,0.45,1979.0,96.71489617093165,0.04887058927283055,0.12489150591945584,0.5,1979.0,123.58014510730156,0.06244575295972792,0.1411817023437327,0.55,2038.3700000000001,158.27930063351695,0.07764993628905299,0.16833202971752745,0.65,2077.9500000000003,227.36060174849854,0.10941581931639284
768,A12,12,A34,A42,3617,A61,A75,1,A93,A101,4,A123,28,A143,A151,3,A173,1,A192,A201,301.4166666666667,8.193676665955241,1.0,0,0,3617,early_career,short_term,medium_high_amount,0,0.1660883657164894,0,3617,270.333728458444,1,0.1674539688176158,0,0.2674848497123416,0.06742308792289,,,,low_risk,medium_high_exposure,0,0,0,0.1660883657164894,0.45,3617.0,270.333728458444,0.07473976457242024,0.1910016205739628,0.5,3617.0,345.42643080801173,0.0955008102869814,0.21591487543143625,0.55,3725.51,442.4161651627136,0.11875318148728994,0.2574369668605586,0.65,3797.8500000000004,635.5095399843922,0.1673340284593631
720,A13,9,A30,A43,1337,A61,A72,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,148.55555555555554,7.198931240688173,0.75,0,0,5348,early_career,short_term,low_amount,1,0.6246366072659425,0,1337,375.8126147615543,1,0.1868479589819327,0,0.3464525570101709,0.0272433609536945,,,,high_risk,low_exposure,0,0,0,0.6246366072659425,0.45,1337.0,375.8126147615543,0.2810864732696741,0.7383320983558338,0.5,1337.0,493.5750077508749,0.3691660491779169,0.8620275894457253,0.55,1377.1100000000001,652.9087475358816,0.4741151741951489,1.0,0.65,1403.8500000000001,912.5025000000002,0.65
525,A12,26,A32,A41,7966,A61,A72,2,A93,A101,3,A123,30,A143,A152,2,A173,1,A191,A201,306.38461538461536,8.983063289380366,2.1666666666666665,0,1,15932,early_career,long_term,high_amount,0,0.5716507961630626,1,7966,2049.1966090057304,0,0.1004350839133428,0,0.1925359449423269,0.0083342228843586,,,,elevated_risk,high_exposure,0,1,0,0.5716507961630626,0.45,7966.0,2049.1966090057304,0.25724285827337817,0.6873984155875219,0.5,7966.0,2737.9078892851,0.34369920779376095,0.8231460350119815,0.55,8204.98,3714.6432148939343,0.45273031925658985,1.0,0.65,8364.300000000001,5436.795000000001,0.65
673,A14,6,A34,A40,2080,A63,A73,1,A94,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,346.6666666666667,7.640603826393634,0.5,0,0,2080,young,short_term,medium_low_amount,0,0.0869623603831742,0,2080,81.39676931865112,1,0.2055648228884052,0,0.3758260896359071,0.0353035561409034,,,,low_risk,medium_low_exposure,0,0,0,0.0869623603831742,0.45,2080.0,81.39676931865105,0.039133062172428394,0.10000671444065033,0.5,2080.0,104.00698301827634,0.050003357220325166,0.11305106849812646,0.55,2142.4,133.21033503271238,0.062178087673969554,0.13479165859392,0.65,2184.0,191.35023853992882,0.087614578086048
679,A14,18,A32,A43,1453,A61,A72,3,A92,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,80.72222222222223,7.282073658093465,1.5,0,0,4359,early_career,medium_term,medium_low_amount,0,0.2776799654037596,0,1453,181.56104537924827,1,0.0226678695907141,0,0.0427616749724655,0.0025740642089627,,,,moderate_risk,medium_low_exposure,0,0,0,0.2776799654037596,0.45,1453.0,181.5610453792482,0.12495598443169181,0.31933196021432353,0.5,1453.0,231.99466909570603,0.15966598010716176,0.3609839550248875,0.55,1496.5900000000001,297.13473748788306,0.19854117526368814,0.4304039463758274,0.65,1525.65,426.81975751238275,0.2797625651442878
189,A12,18,A30,A42,3244,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,180.22222222222223,8.08487062913819,1.5,0,0,3244,early_career,medium_term,medium_high_amount,0,0.7794414447562977,0,3244,1137.8286210552433,1,0.1647566090793196,0,0.3050174494707828,0.0244957686878565,,,,high_risk,medium_high_exposure,0,0,0,0.7794414447562977,0.45,3244.0,1137.8286210552433,0.3507486501403339,0.9163576614697423,0.5,3244.0,1486.332126903922,0.45817883073487115,1.0,0.55,3341.32,1837.7260000000003,0.55,1.0,0.65,3406.2000000000003,2214.03,0.65
152,A13,36,A32,A43,5848,A61,A73,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,162.44444444444446,8.674025985443025,3.0,1,1,23392,young,long_term,high_amount,0,0.8354812468042384,1,5848,2198.6524490900338,0,0.1324463561247661,0,0.2610047340013719,0.0038879782481602,,,,high_risk,high_exposure,1,1,0,0.8354812468042384,0.45,5848.0,2198.6524490900338,0.3759665610619073,0.9908034338248741,0.5,5848.0,2897.109240503932,0.4954017169124371,1.0,0.55,6023.4400000000005,3312.8920000000007,0.55,1.0,0.65,6140.400000000001,3991.2600000000007,0.65
