,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket,actual_default,predicted_pd,local_log_odds,local_pd,top_positive_contributors,top_negative_contributors,risk_cluster,expected_loss_proxy,ensemble_anomaly_score,ensemble_anomaly_flag,if_score_scaled,lof_score_scaled,risk_narrative
46,A14,36,A32,A43,2299,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,63.861111111111114,7.7406644019172415,3.0,1,0,9196,mid_career,long_term,medium_low_amount,0,0.24315764002995807,-1.1354450312345867,0.24315764002995813,foreign_worker_A201 (0.651); duration_years (0.448); duration_months (0.448); installment_rate_pct_income (0.179); savings_account_A63 (0.170),checking_account_status_A14 (-0.992); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); purpose_A43 (-0.251),0,251.55873649299312,0.1236257366667829,0,0.2294645557603257,0.0177869175732401,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 24.32%. The strongest upward model signals are: foreign_worker_A201 (0.651); duration_years (0.448); duration_months (0.448); installment_rate_pct_income (0.179); savings_account_A63 (0.170). The strongest downward model signals are: checking_account_status_A14 (-0.992); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); purpose_A43 (-0.251). The borrower belongs to risk cluster 0."
668,A11,12,A34,A40,4843,A61,A75,3,A93,A102,4,A122,43,A143,A151,2,A173,1,A192,A201,403.5833333333333,8.485496104672983,1.0,0,1,14529,mid_career,short_term,high_amount,1,0.634271669774066,0.5505865732352615,0.6342716697740659,checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); credit_amount_per_month (0.592); savings_account_A61 (0.577); housing_A151 (0.488),credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); duration_years (-0.258),1,1382.2999635221108,0.2639340795557942,0,0.4907886753096253,0.0370794838019631,"The borrower is assigned high estimated credit risk, with a predicted PD of 63.43%. The strongest upward model signals are: checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); credit_amount_per_month (0.592); savings_account_A61 (0.577); housing_A151 (0.488). The strongest downward model signals are: credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409); duration_years (-0.258). The borrower belongs to risk cluster 1."
234,A14,4,A34,A43,1544,A61,A74,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,386.0,7.342779189331845,0.3333333333333333,0,0,3088,mid_career,short_term,medium_low_amount,0,0.030773804283999034,-3.4498341989304873,0.030773804283999062,foreign_worker_A201 (0.651); savings_account_A61 (0.577); credit_amount_per_month (0.549); people_liable (0.308); existing_credits (0.274),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); employment_since_A74 (-0.557); duration_years (-0.494); duration_months (-0.494),0,21.38163921652253,0.187222077171946,0,0.3197498988086017,0.0546942555352904,"The borrower is assigned low estimated credit risk, with a predicted PD of 3.08%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); credit_amount_per_month (0.549); people_liable (0.308); existing_credits (0.274). The strongest downward model signals are: checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); employment_since_A74 (-0.557); duration_years (-0.494); duration_months (-0.494). The borrower belongs to risk cluster 0."
724,A14,27,A32,A40,2570,A61,A73,3,A92,A101,3,A121,21,A143,A151,1,A173,1,A191,A201,95.1851851851852,7.852050207265889,2.25,0,0,7710,young,long_term,medium_high_amount,1,0.42110902633127184,-0.3182223886883673,0.42110902633127184,foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); age_bucket_young (0.459); purpose_A40 (0.443),checking_account_status_A14 (-0.992); credit_amount_bucket_medium_high_amount (-0.749); other_installment_plans_A143 (-0.428); property_A121 (-0.358); age_years (-0.233),0,487.0125889521159,0.1180116178094283,0,0.2262060711380819,0.0098171644807748,"The borrower is assigned elevated estimated credit risk, with a predicted PD of 42.11%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); age_bucket_young (0.459); purpose_A40 (0.443). The strongest downward model signals are: checking_account_status_A14 (-0.992); credit_amount_bucket_medium_high_amount (-0.749); other_installment_plans_A143 (-0.428); property_A121 (-0.358); age_years (-0.233). The borrower belongs to risk cluster 0."
761,A11,18,A34,A42,2124,A61,A73,4,A92,A101,4,A121,24,A143,A151,2,A173,1,A191,A201,118.0,7.661527081358517,1.5,0,0,8496,young,medium_term,medium_low_amount,1,0.772370727941264,1.221746346457988,0.772370727941264,checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); duration_bucket_medium_term (0.463),credit_history_A34 (-0.877); other_installment_plans_A143 (-0.428); property_A121 (-0.358); age_years (-0.185); credit_amount_per_month (-0.109),0,738.2319417662602,0.0992037103605882,0,0.1853827373759837,0.0130246833451926,"The borrower is assigned high estimated credit risk, with a predicted PD of 77.24%. The strongest upward model signals are: checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); duration_bucket_medium_term (0.463). The strongest downward model signals are: credit_history_A34 (-0.877); other_installment_plans_A143 (-0.428); property_A121 (-0.358); age_years (-0.185); credit_amount_per_month (-0.109). The borrower belongs to risk cluster 0."
430,A14,5,A32,A49,3448,A61,A74,1,A93,A101,4,A121,74,A143,A152,1,A172,1,A191,A201,689.6,8.145839612936841,0.4166666666666667,0,0,3448,senior,short_term,medium_high_amount,0,0.07220015929240527,-2.5533737684669804,0.07220015929240527,credit_amount_per_month (1.294); foreign_worker_A201 (0.651); age_years (0.630); savings_account_A61 (0.577); job_A172 (0.166),checking_account_status_A14 (-0.992); credit_amount_bucket_medium_high_amount (-0.749); employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); duration_years (-0.464),0,112.025767158096,0.2313608817093672,0,0.3414148537018821,0.1213069097168523,"The borrower is assigned low estimated credit risk, with a predicted PD of 7.22%. The strongest upward model signals are: credit_amount_per_month (1.294); foreign_worker_A201 (0.651); age_years (0.630); savings_account_A61 (0.577); job_A172 (0.166). The strongest downward model signals are: checking_account_status_A14 (-0.992); credit_amount_bucket_medium_high_amount (-0.749); employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); duration_years (-0.464). The borrower belongs to risk cluster 0."
187,A12,16,A34,A40,1175,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,73.4375,7.069874128458572,1.3333333333333333,0,0,2350,senior,medium_term,low_amount,0,0.3896298555645658,-0.44886836714043477,0.38962985556456575,credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); savings_account_A61 (0.577); age_years (0.533); duration_bucket_medium_term (0.463),credit_history_A34 (-0.877); housing_A153 (-0.497); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); job_A171 (-0.305),0,206.0167861297642,0.3056987431120647,0,0.5371067525336123,0.074290733690517,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 38.96%. The strongest upward model signals are: credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); savings_account_A61 (0.577); age_years (0.533); duration_bucket_medium_term (0.463). The strongest downward model signals are: credit_history_A34 (-0.877); housing_A153 (-0.497); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); job_A171 (-0.305). The borrower belongs to risk cluster 0."
259,A14,11,A34,A43,1154,A62,A71,4,A92,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,104.9090909090909,7.051855622955894,0.9166666666666666,0,0,4616,senior,short_term,low_amount,0,0.1600818250225629,-1.6576193854503152,0.1600818250225629,credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); age_years (0.353); existing_credits (0.274); savings_account_A62 (0.268),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); other_installment_plans_A143 (-0.428); property_A121 (-0.358); duration_years (-0.288),0,83.13049173421693,0.1914078088959255,0,0.3402352432256627,0.0425803745661884,"The borrower is assigned low estimated credit risk, with a predicted PD of 16.01%. The strongest upward model signals are: credit_amount_bucket_low_amount (0.769); foreign_worker_A201 (0.651); age_years (0.353); existing_credits (0.274); savings_account_A62 (0.268). The strongest downward model signals are: checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); other_installment_plans_A143 (-0.428); property_A121 (-0.358); duration_years (-0.288). The borrower belongs to risk cluster 0."
571,A14,30,A34,A43,5954,A61,A74,3,A93,A102,2,A123,38,A143,A152,1,A173,1,A191,A201,198.46666666666667,8.691986481789401,2.5,0,1,17862,mid_career,long_term,high_amount,0,0.14125067755074044,-1.8049408877053055,0.14125067755074044,foreign_worker_A201 (0.651); savings_account_A61 (0.577); other_debtors_guarantors_A102 (0.440); installment_burden_proxy (0.336); duration_years (0.272),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428),1,378.4529403616989,0.1914827204802227,0,0.3768279442537004,0.0061374967067449,"The borrower is assigned low estimated credit risk, with a predicted PD of 14.13%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); other_debtors_guarantors_A102 (0.440); installment_burden_proxy (0.336); duration_years (0.272). The strongest downward model signals are: checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); employment_since_A74 (-0.557); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428). The borrower belongs to risk cluster 1."
681,A14,12,A32,A43,2279,A65,A73,4,A93,A101,4,A124,37,A143,A153,1,A173,1,A192,A201,189.91666666666663,7.731930721948486,1.0,0,0,9116,mid_career,short_term,medium_low_amount,0,0.03619094558074639,-3.282084233195111,0.036190945580746404,foreign_worker_A201 (0.651); property_A124 (0.624); installment_rate_pct_income (0.179); job_A173 (0.130); credit_amount (0.073),checking_account_status_A14 (-0.992); housing_A153 (-0.497); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409),0,37.11562424033446,0.129074054723202,0,0.2444210533950496,0.0137270560513543,"The borrower is assigned low estimated credit risk, with a predicted PD of 3.62%. The strongest upward model signals are: foreign_worker_A201 (0.651); property_A124 (0.624); installment_rate_pct_income (0.179); job_A173 (0.130); credit_amount (0.073). The strongest downward model signals are: checking_account_status_A14 (-0.992); housing_A153 (-0.497); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); age_bucket_mid_career (-0.409). The borrower belongs to risk cluster 0."
514,A14,24,A32,A40,2255,A65,A72,4,A93,A101,1,A122,54,A143,A152,1,A173,1,A191,A201,93.95833333333331,7.721348612617949,2.0,0,0,9020,senior,medium_term,medium_low_amount,0,0.34757569862690724,-0.6297126401885635,0.34757569862690735,foreign_worker_A201 (0.651); duration_bucket_medium_term (0.463); purpose_A40 (0.443); employment_since_A72 (0.341); age_years (0.304),checking_account_status_A14 (-0.992); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); savings_account_A65 (-0.409); property_A122 (-0.200),0,352.7024401816541,0.1396636642787557,0,0.2490350530514617,0.0302922755060496,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 34.76%. The strongest upward model signals are: foreign_worker_A201 (0.651); duration_bucket_medium_term (0.463); purpose_A40 (0.443); employment_since_A72 (0.341); age_years (0.304). The strongest downward model signals are: checking_account_status_A14 (-0.992); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); savings_account_A65 (-0.409); property_A122 (-0.200). The borrower belongs to risk cluster 0."
877,A14,36,A32,A43,3595,A61,A75,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,99.86111111111111,8.18757739559151,3.0,1,0,14380,early_career,long_term,medium_high_amount,0,0.32467086060559114,-0.7323882533777866,0.3246708606055912,foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_years (0.448); duration_months (0.448); installment_burden_proxy (0.209),checking_account_status_A14 (-0.992); credit_amount_bucket_medium_high_amount (-0.749); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); purpose_A43 (-0.251),1,525.2362847446951,0.0774593907620257,0,0.1426485560636303,0.0122702254604212,"The borrower is assigned moderate estimated credit risk, with a predicted PD of 32.47%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); duration_years (0.448); duration_months (0.448); installment_burden_proxy (0.209). The strongest downward model signals are: checking_account_status_A14 (-0.992); credit_amount_bucket_medium_high_amount (-0.749); personal_status_sex_A93 (-0.467); other_installment_plans_A143 (-0.428); purpose_A43 (-0.251). The borrower belongs to risk cluster 1."
412,A14,12,A34,A49,2292,A61,A71,4,A93,A101,2,A123,42,A142,A152,2,A174,1,A192,A201,191.0,7.737616282857904,1.0,0,0,9168,mid_career,short_term,medium_low_amount,1,0.08423409150286855,-2.386161047093232,0.08423409150286851,foreign_worker_A201 (0.651); savings_account_A61 (0.577); employment_since_A71 (0.265); installment_rate_pct_income (0.179); age_years (0.109),checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); age_bucket_mid_career (-0.409); duration_years (-0.258),0,86.87904197605862,0.2285705988722236,0,0.4252489643261555,0.0318922334182916,"The borrower is assigned low estimated credit risk, with a predicted PD of 8.42%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); employment_since_A71 (0.265); installment_rate_pct_income (0.179); age_years (0.109). The strongest downward model signals are: checking_account_status_A14 (-0.992); credit_history_A34 (-0.877); personal_status_sex_A93 (-0.467); age_bucket_mid_career (-0.409); duration_years (-0.258). The borrower belongs to risk cluster 0."
570,A11,24,A32,A42,3234,A61,A72,4,A92,A101,4,A121,23,A143,A151,1,A172,1,A192,A201,134.75,8.081784206935001,2.0,0,0,12936,young,medium_term,medium_high_amount,1,0.8605221217515365,1.8196333135191263,0.8605221217515365,checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); duration_bucket_medium_term (0.463),credit_amount_bucket_medium_high_amount (-0.749); other_installment_plans_A143 (-0.428); property_A121 (-0.358); age_years (-0.201); telephone_A192 (-0.182),0,1252.317843785011,0.1511886579246788,0,0.2904873060468679,0.0118900098024897,"The borrower is assigned high estimated credit risk, with a predicted PD of 86.05%. The strongest upward model signals are: checking_account_status_A11 (0.698); foreign_worker_A201 (0.651); savings_account_A61 (0.577); housing_A151 (0.488); duration_bucket_medium_term (0.463). The strongest downward model signals are: credit_amount_bucket_medium_high_amount (-0.749); other_installment_plans_A143 (-0.428); property_A121 (-0.358); age_years (-0.201); telephone_A192 (-0.182). The borrower belongs to risk cluster 0."
801,A12,18,A34,A43,1795,A61,A75,3,A92,A103,4,A121,48,A141,A151,2,A172,1,A192,A201,99.72222222222224,7.493317248862145,1.5,0,0,5385,mid_career,medium_term,medium_low_amount,0,0.43785840000738446,-0.24985820498666633,0.43785840000738446,foreign_worker_A201 (0.651); savings_account_A61 (0.577); other_installment_plans_A141 (0.525); housing_A151 (0.488); duration_bucket_medium_term (0.463),credit_history_A34 (-0.877); other_debtors_guarantors_A103 (-0.430); age_bucket_mid_career (-0.409); property_A121 (-0.358); purpose_A43 (-0.251),0,353.6801226059648,0.341208291476842,0,0.6400109057245758,0.0424056772291083,"The borrower is assigned elevated estimated credit risk, with a predicted PD of 43.79%. The strongest upward model signals are: foreign_worker_A201 (0.651); savings_account_A61 (0.577); other_installment_plans_A141 (0.525); housing_A151 (0.488); duration_bucket_medium_term (0.463). The strongest downward model signals are: credit_history_A34 (-0.877); other_debtors_guarantors_A103 (-0.430); age_bucket_mid_career (-0.409); property_A121 (-0.358); purpose_A43 (-0.251). The borrower belongs to risk cluster 0."
