,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct_income,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age_years,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_amount_per_month,credit_amount_log,duration_years,long_duration_flag,high_credit_amount_flag,installment_burden_proxy,age_bucket,duration_bucket,credit_amount_bucket
367,A11,18,A32,A42,3650,A61,A72,1,A92,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,202.77777777777777,8.202756381655638,1.5,0,0,3650,young,medium_term,medium_high_amount
970,A12,15,A32,A45,1514,A62,A73,4,A93,A103,2,A121,22,A143,A152,1,A173,1,A191,A201,100.93333333333334,7.323170717943469,1.25,0,0,6056,young,medium_term,medium_low_amount
896,A11,21,A32,A43,2606,A61,A72,4,A92,A101,4,A122,28,A143,A151,1,A174,1,A192,A201,124.0952380952381,7.865955413933502,1.75,0,0,10424,early_career,medium_term,medium_high_amount
930,A11,24,A32,A42,1747,A61,A72,4,A93,A102,1,A122,24,A143,A152,1,A172,1,A191,A202,72.79166666666667,7.466227556215481,2.0,0,0,6988,young,medium_term,medium_low_amount
251,A13,12,A32,A42,2251,A61,A73,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,187.58333333333334,7.719573989259581,1.0,0,0,2251,mid_career,short_term,medium_low_amount
390,A14,18,A32,A40,1820,A61,A73,2,A94,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,101.11111111111111,7.507141079727608,1.5,0,0,3640,early_career,medium_term,medium_low_amount
741,A12,10,A31,A43,1048,A61,A73,4,A93,A101,4,A121,23,A142,A152,1,A172,1,A191,A201,104.8,6.955592608396297,0.8333333333333334,0,0,4192,young,short_term,low_amount
552,A11,48,A32,A43,6999,A61,A74,1,A94,A103,1,A121,34,A143,A152,2,A173,1,A192,A201,145.8125,8.85366542803745,4.0,1,1,6999,early_career,very_long_term,high_amount
287,A12,48,A33,A410,7582,A62,A71,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,157.95833333333334,8.933664178700935,4.0,1,1,15164,early_career,very_long_term,high_amount
652,A11,24,A32,A40,2303,A61,A75,4,A93,A102,1,A121,45,A143,A152,1,A173,1,A191,A201,95.95833333333333,7.742402021815782,2.0,0,0,9212,mid_career,medium_term,medium_low_amount
906,A11,21,A32,A40,3763,A65,A74,2,A93,A102,2,A121,24,A143,A152,1,A172,1,A191,A202,179.1904761904762,8.23323750070527,1.75,0,0,7526,young,medium_term,medium_high_amount
904,A14,24,A32,A43,1278,A61,A75,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,53.25,7.153833801578843,2.0,0,0,5112,mid_career,medium_term,low_amount
151,A14,10,A32,A43,1924,A61,A73,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,192.4,7.562681246721884,0.8333333333333334,0,0,1924,mid_career,short_term,medium_low_amount
834,A13,15,A32,A43,2327,A61,A72,2,A92,A101,3,A121,25,A143,A152,1,A172,1,A191,A201,155.13333333333333,7.752764808851328,1.25,0,0,4654,young,medium_term,medium_high_amount
777,A11,18,A32,A43,3509,A61,A74,4,A92,A103,1,A121,25,A143,A152,1,A173,1,A191,A201,194.94444444444446,8.163371316459912,1.5,0,0,14036,young,medium_term,medium_high_amount
359,A11,30,A32,A42,2406,A61,A74,4,A92,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,80.2,7.786136437783072,2.5,0,0,9624,young,long_term,medium_high_amount
576,A12,12,A32,A43,2930,A61,A74,2,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,244.16666666666666,7.983098940710892,1.0,0,0,5860,early_career,short_term,medium_high_amount
770,A11,24,A32,A41,2812,A65,A75,2,A92,A101,4,A121,26,A143,A151,1,A173,1,A191,A201,117.16666666666667,7.9420068084898565,2.0,0,0,5624,early_career,medium_term,medium_high_amount
389,A14,9,A32,A49,1449,A61,A74,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,161.0,7.27931883541462,0.75,0,0,4347,early_career,short_term,medium_low_amount
942,A14,24,A32,A42,929,A65,A74,4,A93,A101,2,A123,31,A142,A152,1,A173,1,A192,A201,38.708333333333336,6.835184586147301,2.0,0,0,3716,early_career,medium_term,low_amount
50,A12,24,A33,A42,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,97.20833333333333,7.755338812846501,2.0,0,0,9332,early_career,medium_term,medium_high_amount
413,A14,10,A32,A40,1597,A63,A73,3,A93,A101,2,A124,40,A143,A151,1,A172,2,A191,A202,159.7,7.37650812632622,0.8333333333333334,0,0,4791,mid_career,short_term,medium_low_amount
193,A14,6,A32,A43,2108,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,351.3333333333333,7.653969180478774,0.5,0,0,4216,early_career,short_term,medium_low_amount
350,A14,9,A32,A44,1236,A61,A72,1,A92,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,137.33333333333334,7.1204443723924875,0.75,0,0,1236,young,short_term,low_amount
994,A14,12,A32,A40,2390,A65,A75,4,A93,A101,3,A123,50,A143,A152,1,A173,1,A192,A201,199.16666666666666,7.779466967458324,1.0,0,0,9560,mid_career,short_term,medium_high_amount
722,A11,12,A32,A40,1228,A61,A73,4,A92,A101,2,A121,24,A143,A152,1,A172,1,A191,A201,102.33333333333333,7.113956109566034,1.0,0,0,4912,young,short_term,low_amount
874,A11,12,A32,A42,3590,A61,A73,2,A93,A102,2,A122,29,A143,A152,1,A172,2,A191,A201,299.1666666666667,8.186185994226083,1.0,0,0,7180,early_career,short_term,medium_high_amount
546,A14,24,A34,A40,2022,A61,A73,4,A92,A101,4,A123,37,A143,A152,1,A173,1,A192,A201,84.25,7.612336837167746,2.0,0,0,8088,mid_career,medium_term,medium_low_amount
759,A11,12,A34,A40,691,A61,A75,4,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,57.583333333333336,6.539585955617669,1.0,0,0,2764,early_career,short_term,low_amount
233,A12,18,A32,A43,866,A61,A73,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,48.111111111111114,6.7650389767805414,1.5,0,0,3464,young,medium_term,low_amount
809,A12,15,A30,A40,1778,A61,A72,2,A92,A101,1,A121,26,A143,A151,2,A171,1,A191,A201,118.53333333333333,7.483806687665835,1.25,0,0,3556,early_career,medium_term,medium_low_amount
306,A14,30,A32,A41,4811,A65,A74,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,160.36666666666667,8.47886807709457,2.5,0,1,9622,young,long_term,high_amount
490,A14,12,A34,A43,1934,A61,A75,2,A93,A101,2,A124,26,A143,A152,2,A173,1,A191,A201,161.16666666666666,7.5678626054638825,1.0,0,0,3868,early_career,short_term,medium_low_amount
288,A12,12,A32,A43,1092,A61,A73,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,91.0,6.996681488176539,1.0,0,0,4368,mid_career,short_term,low_amount
727,A11,18,A32,A43,1882,A61,A73,4,A92,A101,4,A123,25,A141,A151,2,A173,1,A191,A201,104.55555555555556,7.5406215286571525,1.5,0,0,7528,young,medium_term,medium_low_amount
198,A12,24,A32,A41,2760,A65,A75,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,115.0,7.923348211930154,2.0,0,0,11040,mid_career,medium_term,medium_high_amount
583,A12,36,A32,A45,2384,A61,A72,4,A93,A101,1,A124,33,A143,A151,1,A172,1,A191,A201,66.22222222222223,7.776954403322442,3.0,1,0,9536,early_career,long_term,medium_high_amount
752,A12,12,A32,A49,841,A62,A74,2,A92,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,70.08333333333333,6.7357800142423265,1.0,0,0,1682,young,short_term,low_amount
301,A12,36,A30,A43,3804,A61,A73,4,A92,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,105.66666666666667,8.244071270295786,3.0,1,0,15216,mid_career,long_term,medium_high_amount
591,A12,24,A33,A40,1965,A65,A73,4,A92,A101,4,A123,42,A143,A151,2,A173,1,A192,A201,81.875,7.583756300707112,2.0,0,0,7860,mid_career,medium_term,medium_low_amount
125,A11,12,A34,A40,2121,A61,A73,4,A93,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,176.75,7.660114319173928,1.0,0,0,8484,early_career,short_term,medium_low_amount
489,A14,6,A32,A40,3518,A61,A73,2,A93,A103,3,A122,26,A143,A151,1,A173,1,A191,A201,586.3333333333334,8.165932137321585,0.5,0,0,7036,early_career,short_term,medium_high_amount
606,A14,24,A34,A49,4526,A61,A73,3,A93,A101,2,A121,74,A143,A152,1,A174,1,A192,A201,188.58333333333334,8.417814747435958,2.0,0,1,13578,senior,medium_term,high_amount
623,A11,12,A32,A42,1858,A61,A72,4,A92,A101,1,A123,22,A143,A151,1,A173,1,A191,A201,154.83333333333334,7.527793987721444,1.0,0,0,7432,young,short_term,medium_low_amount
72,A11,8,A34,A410,1164,A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,145.5,7.060476365999801,0.6666666666666666,0,0,3492,senior,short_term,low_amount
754,A14,12,A33,A45,1555,A64,A75,4,A93,A101,4,A124,55,A143,A153,2,A173,2,A191,A201,129.58333333333334,7.349873704738337,1.0,0,0,6220,senior,short_term,medium_low_amount
512,A13,15,A32,A49,2687,A61,A74,2,A93,A101,4,A122,26,A143,A151,1,A173,1,A192,A201,179.13333333333333,7.89655270164304,1.25,0,0,5374,early_career,medium_term,medium_high_amount
217,A13,36,A32,A43,3913,A61,A73,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,108.69444444444444,8.272315147956022,3.0,1,0,7826,young,long_term,medium_high_amount
105,A12,24,A34,A410,11938,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,497.4166666666667,9.387565631345389,2.0,0,1,23876,mid_career,medium_term,high_amount
656,A12,12,A32,A40,888,A61,A75,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,74.0,6.790097235513905,1.0,0,0,3552,mid_career,short_term,low_amount
399,A14,24,A34,A43,1516,A64,A73,4,A92,A101,1,A121,43,A143,A152,2,A172,1,A191,A201,63.166666666666664,7.324489979348532,2.0,0,0,6064,mid_career,medium_term,medium_low_amount
208,A11,24,A32,A49,6568,A61,A73,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,273.6666666666667,8.790116892892472,2.0,0,1,13136,young,medium_term,high_amount
980,A12,30,A34,A42,8386,A61,A74,2,A93,A101,2,A122,49,A143,A152,1,A173,1,A191,A201,279.53333333333336,9.034438166984412,2.5,0,1,16772,mid_career,long_term,high_amount
747,A11,12,A32,A40,1274,A61,A72,3,A92,A101,1,A121,37,A143,A152,1,A172,1,A191,A201,106.16666666666667,7.150701457592526,1.0,0,0,3822,mid_career,short_term,low_amount
99,A12,20,A33,A41,7057,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,352.85,8.861917004235215,1.6666666666666667,0,1,21171,mid_career,medium_term,high_amount
948,A14,18,A32,A42,1533,A61,A72,4,A94,A102,1,A122,43,A143,A152,1,A172,2,A191,A201,85.16666666666667,7.335633981927201,1.5,0,0,6132,mid_career,medium_term,medium_low_amount
785,A12,18,A32,A49,1941,A64,A73,4,A93,A101,2,A122,35,A143,A152,1,A172,1,A192,A201,107.83333333333333,7.571473648851271,1.5,0,0,7764,early_career,medium_term,medium_low_amount
432,A11,6,A34,A42,1872,A61,A71,4,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,312.0,7.5352967024440884,0.5,0,0,7488,mid_career,short_term,medium_low_amount
635,A14,12,A32,A46,1393,A61,A75,4,A93,A101,4,A122,47,A141,A152,3,A173,2,A192,A201,116.08333333333333,7.2399325913204695,1.0,0,0,5572,mid_career,short_term,medium_low_amount
597,A12,24,A30,A49,4241,A61,A73,1,A93,A101,4,A121,36,A143,A152,3,A172,1,A192,A201,176.70833333333334,8.352790135124629,2.0,0,1,4241,mid_career,medium_term,high_amount
736,A12,24,A32,A41,11560,A61,A73,1,A92,A101,4,A123,23,A143,A151,2,A174,1,A191,A201,481.6666666666667,9.355392643675321,2.0,0,1,11560,young,medium_term,high_amount
639,A11,42,A33,A43,4370,A61,A74,3,A93,A101,2,A122,26,A141,A152,2,A173,2,A192,A201,104.04761904761905,8.382747094863314,3.5,1,1,13110,early_career,very_long_term,high_amount
986,A13,42,A30,A49,6289,A61,A72,2,A91,A101,1,A122,33,A143,A152,2,A173,1,A191,A201,149.73809523809524,8.746716349694486,3.5,1,1,12578,early_career,very_long_term,high_amount
607,A12,36,A32,A43,2671,A62,A73,4,A92,A102,4,A124,50,A143,A153,1,A173,1,A191,A201,74.19444444444444,7.890582534656536,3.0,1,0,10684,mid_career,long_term,medium_high_amount
447,A12,7,A32,A43,2576,A61,A73,2,A93,A103,2,A121,35,A143,A152,1,A173,1,A191,A201,368.0,7.854381210652365,0.5833333333333334,0,0,5152,early_career,short_term,medium_high_amount
62,A12,36,A30,A49,1953,A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,54.25,7.577633832602728,3.0,1,0,7812,senior,long_term,medium_low_amount
603,A14,36,A32,A42,3349,A61,A73,4,A92,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,93.02777777777777,8.116715624819111,3.0,1,0,13396,early_career,long_term,medium_high_amount
985,A11,15,A34,A42,1433,A61,A73,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A191,A201,95.53333333333333,7.2682230211595655,1.25,0,0,5732,young,medium_term,medium_low_amount
655,A11,14,A32,A40,3973,A61,A71,1,A93,A101,4,A124,22,A143,A153,1,A173,1,A191,A201,283.7857142857143,8.287528423111763,1.1666666666666667,0,1,3973,young,medium_term,high_amount
239,A11,30,A32,A43,2522,A61,A75,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,84.06666666666666,7.833203948641057,2.5,0,0,2522,mid_career,long_term,medium_high_amount
513,A12,12,A33,A43,585,A61,A73,4,A94,A102,4,A121,20,A143,A151,2,A173,1,A191,A201,48.75,6.373319789577012,1.0,0,0,2340,young,short_term,low_amount
928,A14,30,A32,A43,1867,A65,A75,4,A93,A101,4,A123,58,A143,A152,1,A173,1,A192,A201,62.233333333333334,7.532623618788788,2.5,0,0,7468,senior,long_term,medium_low_amount
852,A14,15,A34,A43,1471,A61,A73,4,A93,A101,4,A124,35,A143,A153,2,A173,1,A192,A201,98.06666666666666,7.294377299288821,1.25,0,0,5884,early_career,medium_term,medium_low_amount
646,A11,30,A30,A42,4583,A61,A73,2,A91,A103,2,A121,32,A143,A152,2,A173,1,A191,A201,152.76666666666668,8.430327258394575,2.5,0,1,9166,early_career,long_term,high_amount
862,A11,24,A32,A43,2439,A61,A72,4,A92,A101,4,A121,35,A143,A152,1,A173,1,A192,A201,101.625,7.799753318287247,2.0,0,0,9756,early_career,medium_term,medium_high_amount
999,A12,45,A34,A41,4576,A62,A71,3,A93,A101,4,A123,27,A143,A152,1,A173,1,A191,A201,101.68888888888888,8.428799040653642,3.75,1,1,13728,early_career,very_long_term,high_amount
244,A14,12,A31,A48,3447,A63,A73,4,A92,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,287.25,8.145549631783584,1.0,0,0,13788,early_career,short_term,medium_high_amount
0,A11,6,A34,A43,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,194.83333333333334,7.064759027791802,0.5,0,0,4676,senior,short_term,low_amount
79,A12,30,A32,A42,3832,A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,127.73333333333333,8.251403065380556,2.5,0,0,7664,young,long_term,medium_high_amount
504,A11,24,A32,A40,1207,A61,A72,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,50.291666666666664,7.0967213784947605,2.0,0,0,4828,young,medium_term,low_amount
51,A12,27,A33,A41,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,220.92592592592592,8.693831965074693,2.25,0,1,5965,early_career,long_term,high_amount
213,A13,30,A33,A49,1908,A61,A75,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,63.6,7.554334823725748,2.5,0,0,7632,senior,long_term,medium_low_amount
893,A12,36,A34,A41,5800,A61,A73,3,A93,A101,4,A123,34,A143,A152,2,A173,1,A192,A201,161.11111111111111,8.665785595466064,3.0,1,1,17400,early_career,long_term,high_amount
305,A14,6,A32,A42,1543,A64,A73,4,A91,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,257.1666666666667,7.342131730584722,0.5,0,0,6172,early_career,short_term,medium_low_amount
972,A11,24,A31,A40,1193,A61,A71,1,A92,A102,4,A124,29,A143,A151,2,A171,1,A191,A201,49.708333333333336,7.085064293952548,2.0,0,0,1193,early_career,medium_term,low_amount
599,A14,24,A33,A49,3863,A61,A73,1,A93,A101,2,A124,32,A143,A153,1,A173,1,A191,A201,160.95833333333334,8.259458195332408,2.0,0,0,3863,early_career,medium_term,medium_high_amount
837,A14,4,A32,A42,601,A61,A72,1,A92,A101,3,A121,23,A143,A151,1,A172,2,A191,A201,150.25,6.400257445308821,0.3333333333333333,0,0,601,young,short_term,low_amount
610,A11,12,A32,A44,741,A62,A71,4,A92,A101,3,A122,22,A143,A152,1,A173,1,A191,A201,61.75,6.60934924316738,1.0,0,0,2964,young,short_term,low_amount
694,A14,24,A32,A43,2284,A61,A74,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,95.16666666666667,7.734121303328305,2.0,0,0,9136,early_career,medium_term,medium_low_amount
750,A11,6,A32,A42,428,A61,A75,2,A92,A101,1,A122,49,A141,A152,1,A173,1,A192,A201,71.33333333333333,6.061456918928017,0.5,0,0,856,mid_career,short_term,low_amount
850,A11,20,A34,A40,2235,A61,A73,4,A94,A103,2,A122,33,A141,A151,2,A173,1,A191,A202,111.75,7.71244383427499,1.6666666666666667,0,0,8940,early_career,medium_term,medium_low_amount
969,A11,11,A34,A40,3939,A61,A73,1,A93,A101,2,A121,40,A143,A152,2,A172,2,A191,A201,358.09090909090907,8.27893600229198,0.9166666666666666,0,0,3939,mid_career,short_term,medium_high_amount
33,A14,12,A34,A49,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,105.33333333333333,7.142827401161621,1.0,0,0,5056,senior,short_term,low_amount
503,A12,24,A34,A43,1216,A62,A72,4,A93,A101,4,A124,38,A141,A152,2,A173,2,A191,A201,50.666666666666664,7.104144092987527,2.0,0,0,4864,mid_career,medium_term,low_amount
474,A12,18,A34,A43,1245,A61,A73,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,69.16666666666667,7.1276936993473985,1.5,0,0,4980,early_career,medium_term,low_amount
467,A14,48,A33,A43,7238,A65,A75,3,A93,A101,3,A123,32,A141,A152,2,A173,2,A191,A201,150.79166666666666,8.88723835429314,4.0,1,1,21714,early_career,very_long_term,high_amount
462,A12,12,A32,A42,3017,A61,A72,3,A92,A101,1,A121,34,A143,A151,1,A174,1,A191,A201,251.41666666666666,8.012349639327795,1.0,0,0,9051,early_career,short_term,medium_high_amount
424,A12,12,A32,A42,2762,A65,A75,1,A92,A101,2,A122,25,A141,A152,1,A173,1,A192,A201,230.16666666666666,7.924072324923417,1.0,0,0,2762,young,short_term,medium_high_amount
267,A14,24,A32,A43,1533,A61,A72,4,A92,A101,3,A123,38,A142,A152,1,A173,1,A192,A201,63.875,7.335633981927201,2.0,0,0,6132,mid_career,medium_term,medium_low_amount
684,A12,36,A33,A49,9857,A62,A74,1,A93,A101,3,A122,31,A143,A152,2,A172,2,A192,A201,273.80555555555554,9.196038587265322,3.0,1,1,9857,early_career,long_term,high_amount
864,A14,10,A32,A42,2210,A61,A73,2,A93,A101,2,A121,25,A141,A151,1,A172,1,A191,A201,221.0,7.701200180857446,0.8333333333333334,0,0,4420,young,short_term,medium_low_amount
950,A12,18,A34,A49,3590,A61,A71,3,A94,A101,3,A123,40,A143,A152,3,A171,2,A192,A201,199.44444444444446,8.186185994226083,1.5,0,0,10770,mid_career,medium_term,medium_high_amount
58,A13,18,A32,A40,1961,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,108.94444444444444,7.581719640125308,1.5,0,0,5883,young,medium_term,medium_low_amount
378,A12,36,A32,A40,14318,A61,A75,4,A93,A101,2,A124,57,A143,A153,1,A174,1,A192,A201,397.72222222222223,9.569342605674006,3.0,1,1,57272,senior,long_term,high_amount
77,A12,11,A33,A43,4771,A61,A74,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,433.72727272727275,8.470520783217808,0.9166666666666666,0,1,9542,senior,short_term,high_amount
451,A14,6,A32,A43,518,A61,A73,3,A92,A101,1,A121,29,A143,A152,1,A173,1,A191,A201,86.33333333333333,6.251903883165888,0.5,0,0,1554,early_career,short_term,low_amount
12,A12,12,A32,A43,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,130.58333333333334,7.357556200910353,1.0,0,0,1567,young,short_term,medium_low_amount
568,A12,48,A32,A43,3979,A65,A74,4,A93,A101,1,A123,41,A143,A152,2,A173,2,A192,A201,82.89583333333333,8.289037098278483,4.0,1,1,15916,mid_career,very_long_term,high_amount
212,A11,27,A30,A49,5293,A61,A71,2,A93,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,196.03703703703704,8.574329382787047,2.25,0,1,10586,mid_career,long_term,high_amount
322,A11,24,A32,A41,2910,A61,A74,2,A93,A101,1,A124,34,A143,A153,1,A174,1,A192,A201,121.25,7.976251943745623,2.0,0,0,5820,early_career,medium_term,medium_high_amount
650,A11,48,A32,A46,7476,A61,A74,4,A93,A101,1,A124,50,A143,A153,1,A174,1,A192,A201,155.75,8.919586920999915,4.0,1,1,29904,mid_career,very_long_term,high_amount
291,A12,36,A32,A41,9398,A61,A72,1,A94,A101,4,A123,28,A143,A151,1,A174,1,A192,A201,261.05555555555554,9.148358579620302,3.0,1,1,9398,early_career,long_term,high_amount
37,A13,18,A32,A43,2100,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,116.66666666666667,7.650168700845001,1.5,0,0,8400,mid_career,medium_term,medium_low_amount
913,A14,11,A32,A49,2142,A64,A75,1,A91,A101,2,A121,28,A143,A152,1,A173,1,A192,A201,194.72727272727272,7.669961995473577,0.9166666666666666,0,0,2142,early_career,short_term,medium_low_amount
397,A11,36,A34,A42,2348,A61,A73,3,A94,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,65.22222222222223,7.761744984658913,3.0,1,0,7044,mid_career,long_term,medium_high_amount
278,A14,6,A32,A42,4611,A61,A72,1,A92,A101,4,A122,32,A143,A152,1,A173,1,A191,A201,768.5,8.436416881388949,0.5,0,1,4611,early_career,short_term,high_amount
271,A14,12,A34,A42,1402,A63,A74,3,A92,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,116.83333333333333,7.246368080102461,1.0,0,0,4206,mid_career,short_term,medium_low_amount
792,A14,6,A34,A42,1221,A65,A73,1,A94,A101,2,A122,27,A143,A152,2,A173,1,A191,A201,203.5,7.108244139731541,0.5,0,0,1221,early_career,short_term,low_amount
847,A14,24,A32,A40,1249,A61,A72,4,A94,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,52.041666666666664,7.1308988302963465,2.0,0,0,4996,early_career,medium_term,low_amount
36,A14,48,A34,A46,6110,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,127.29166666666667,8.717845704894916,4.0,1,1,6110,early_career,very_long_term,high_amount
580,A12,18,A34,A40,1056,A61,A75,3,A93,A103,3,A121,30,A141,A152,2,A173,1,A191,A201,58.666666666666664,6.963189985870238,1.5,0,0,3168,early_career,medium_term,low_amount
5,A14,36,A32,A46,9055,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,251.52777777777777,9.111182800442965,3.0,1,1,18110,early_career,long_term,high_amount
165,A14,6,A32,A42,2978,A63,A73,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,496.3333333333333,7.999342952713282,0.5,0,0,2978,early_career,short_term,medium_high_amount
836,A14,12,A32,A43,886,A65,A73,4,A92,A101,2,A123,21,A143,A152,1,A173,1,A191,A201,73.83333333333333,6.787844982309579,1.0,0,0,3544,young,short_term,low_amount
661,A11,12,A32,A40,900,A65,A73,4,A94,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,75.0,6.803505257608338,1.0,0,0,3600,young,short_term,low_amount
135,A14,12,A34,A43,1240,A65,A75,4,A92,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,103.33333333333333,7.123672785204607,1.0,0,0,4960,mid_career,short_term,low_amount
